"These are the prov climates for the Sx CC/genecology trial, queried by Greg March 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data from ClimateBC ver 5.40 (about 66 prov) and ClimWNA 5.4 (the remainder, except one Ont prov which is from ClimNA 5.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are normals for 1961-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta SO pops designated as Class B because GW < 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seedlot_code,seedlot_number,seedlot_name,Province,Class,lat_P,long_P,elev_P,MAT_P,MWMT_P,MCMT_P,TD_P,MAP_P,MSP_P,AHM_P,SHM_P,DD_0_P,DD5_P,DD_18_P,DD18_P,NFFD_P,bFFP_P,eFFP_P,FFP_P,PAS_P,EMT_P,EXT_P,Eref_P,CMD_P,MAR_P,RH_P
328,19,BV elite ,BC,elite,54.55063,-127.1241,652,2.9,13.9,-10,23.9,532,221,24.3,62.8,1015,1048,5498,17,153,161,254,93,212,-39.9,32.4,522,252,10.6,62
329,1850,Terrace,BC,B,54.75,-128.75,427,4.7,14.7,-6,20.7,1190,295,12.4,50.1,644,1229,4836,28,191,144,273,129,447,-32.8,32.6,524,193,9.9,70
330,2337,Top of World Pk,BC,B,49.8,-115.480003,1981,0.1,11.2,-10.4,21.6,851,364,11.9,30.8,1354,604,6513,4,120,178,245,67,479,-41.6,29.2,396,36,12.6,66
331,3058,Manning Pk,BC,B,49,-121,1509,3.1,12.8,-5.4,18.2,1260,267,10.4,47.9,754,866,5432,11,151,167,261,94,653,-34.3,31.5,504,163,13.1,66
332,4025,Celista,BC,B,51.02,-119.599998,1768,1.2,12,-9,21,795,289,14.1,41.7,1188,738,6121,7,148,155,261,106,448,-39.3,29.2,415,84,12.8,72
333,4037,Quesnel Lk,BC,B,52.83,-120.93,1585,1,11.4,-9.8,21.2,1297,472,8.5,24.2,1206,697,6199,6,132,173,251,78,716,-39.7,29.3,437,0,12.8,67
334,4162,Lower Post,BC,B,59.9,-128.220001,600,-1.9,14.8,-21.2,36,495,264,16.4,56.1,2489,996,7234,19,130,168,244,76,214,-51.2,33.5,469,176,9.9,58
335,4319,Lillooet,BC,B,50.97,-121.779999,1585,1.4,11.6,-8.6,20.2,538,216,21.2,54,1103,716,6034,7,129,174,250,75,276,-39.7,30.3,481,211,13.3,64
336,4510,Boston Bar,BC,B,49.87,-121.43,1280,3.7,14,-5.8,19.8,1083,228,12.6,61.3,753,1030,5224,18,160,162,260,98,532,-34.2,33,541,232,11.5,66
337,4721,Chilliwack,BC,B,49.03,-121.75,1350,4,12.9,-3.4,16.3,2121,492,6.6,26.2,535,888,5115,11,180,154,274,121,789,-29.9,30.3,449,19,15.3,72
338,4752,Queen Ch Isl,BC,B,53.33,-132.330002,300,6.1,13.5,0.4,13,2750,593,5.9,22.7,242,1118,4325,17,250,129,294,165,367,-21,30.7,450,8,10.9,80
339,5060,Mica Ck,BC,B,52.08,-118.669998,1140,3.2,15,-8.9,24,1521,393,8.7,38.2,979,1178,5383,26,168,147,262,115,814,-37.6,32.8,516,83,10.5,68
340,5221,Flathead,BC,B,49.28,-114.699997,2000,-0.1,11.2,-10.7,21.9,1219,413,8.1,27.2,1428,603,6590,4,130,167,248,81,797,-41.1,28.7,376,41,14,72
341,5229,Parson,BC,B,51.03,-116.650002,1097,3.4,15.4,-10,25.4,644,213,20.8,72.2,1037,1260,5337,31,155,155,252,98,317,-40.8,34.4,597,320,12,60
342,5459,Whatshan Lk,BC,B,50.1,-118.150002,777,6.3,17.7,-5.6,23.4,923,227,17.7,78.2,575,1720,4333,89,192,137,271,134,323,-33.4,36.5,698,364,13.2,61
343,5680,Semllin Ck,BC,B,49.33,-116.199997,1770,1.8,13.2,-8.8,22,792,287,14.9,45.8,1114,870,5904,11,147,160,257,97,428,-39.1,30.9,466,111,12.4,69
344,5740,Inanoclin,BC,B,50.05,-118.199997,1400,3.1,13.9,-7.1,21,994,330,13.2,42.3,885,1039,5415,17,154,160,259,98,468,-36.5,32.1,535,131,11.8,64
345,8728,NW Smithers,BC,B,55,-127.730003,450,3.8,14.7,-8.6,23.3,612,248,22.6,59,870,1188,5161,25,173,147,263,116,220,-37.6,32.7,518,232,10.3,65
346,8791,McGregor,BC,B,54.67,-120.580002,1219,1,12.5,-10.8,23.2,962,360,11.4,34.6,1332,817,6191,9,142,162,252,90,511,-42.9,29.8,441,41,11.8,64
347,14329,NW Alexis Ck,BC,B,52.53,-123.82,1372,0.7,11.4,-10.9,22.3,485,228,22,50.2,1315,680,6303,6,104,182,231,49,229,-46.5,31.1,515,242,11.4,52
348,23532,N Rossland,BC,B,49.3,-118,1650,3.2,14.5,-7.5,22,1036,293,12.8,49.5,886,1045,5387,21,164,152,268,116,522,-36.6,32.2,494,126,13.1,68
349,27135,Little Fort,BC,B,51.62,-120.379997,1300,2.1,12.6,-8.6,21.3,638,301,19,42.1,1048,859,5785,10,127,178,243,65,270,-40.9,32.1,544,180,11.5,58
350,29143,Germenson Ldg,BC,B,55.75,-124.75,763,0.8,13.2,-14.2,27.4,573,261,18.8,50.7,1527,888,6271,11,133,159,236,78,260,-45,32.2,508,205,10,59
351,31460,Tete Jeaune Cache,BC,B,53.03,-119.32,1500,1.3,12.2,-10.3,22.5,886,320,12.7,38,1219,802,6085,8,136,169,249,80,481,-40.8,30.1,469,105,12.3,65
352,31914,Alta Lk,BC,B,50.13,-122.949997,640,6.1,15.5,-3,18.6,1295,268,12.5,58,425,1417,4349,42,205,140,276,136,352,-28.9,34.6,622,235,12.2,67
353,35046, W Bowser Lk,BC,B,56.67,-130.270004,650,1.5,11.8,-10,21.8,1450,402,7.9,29.3,1116,737,6005,7,154,156,260,105,824,-38.4,29.2,396,70,9.8,73
354,36640,Takla Ldg,BC,B,55.4,-125.769997,1433,-0.7,9.9,-12.1,22,810,320,11.5,31,1533,491,6812,3,109,178,238,60,475,-43.9,27.9,366,45,11.5,64
355,39070,W Quesnel,BC,B,52.97,-122.75,853,3.3,14.8,-9.8,24.6,546,273,24.4,54.2,1010,1168,5360,25,155,156,254,98,196,-41,33.1,554,236,11.2,59
356,39072,Kleena Kleene,BC,B,51.95,-124.980003,1350,1.2,11.1,-9.4,20.5,636,233,17.6,47.8,1151,673,6120,6,107,182,233,52,333,-44.1,31,515,230,11.7,54
357,39331,Birch Island,BC,B,51.62,-119.949997,470,6.3,18.4,-7.1,25.5,438,196,37.2,93.8,669,1767,4372,120,189,137,265,128,130,-34.9,37.7,721,454,10.6,60
358,39363,E Mackenzie,BC,B,60.33,-123.5,250,-1.8,16.6,-22.1,38.6,425,276,19.4,60,2687,1224,7211,43,141,149,250,100,135,-50.5,34.1,479,167,10.2,59
359,39438,Quick,BC,B,55.4,-122.620003,1200,-0.1,11.8,-12.3,24,1550,436,6.4,27,1529,690,6578,6,132,167,246,79,1009,-43.8,28.8,376,1,11.2,67
360,39623,N Anahim Lake,BC,B,54.67,-127.169998,675,2.8,13.5,-9.5,23,512,211,24.9,63.7,999,995,5541,15,153,159,253,95,211,-40.1,32,507,250,11.1,62
361,40249,SE Chetwynd,BC,B,53.08,-125.300003,1250,1.1,11.4,-9.8,21.2,585,236,19,48.4,1182,682,6151,6,110,182,235,53,286,-43.8,30.8,501,216,11.2,56
362,44275,SE Stewart,BC,B,55.13,-121.080002,885,1.5,13.8,-12.1,25.9,612,295,18.8,46.7,1376,1000,6004,15,143,167,251,84,253,-44.2,31.9,504,163,11.1,60
363,47418,Footner Lake,AB,B,55.52,-129.429993,800,2.4,11.9,-7.3,19.2,1997,475,6.2,25.1,895,782,5685,8,160,155,260,105,1026,-35.9,29,411,52,9.9,72
